2024-11-02 00:39:34,151 - INFO - Transaction Processed: {'transaction_id': 97152, 'amount': 42.75, 'timestamp': 1730497174.1498682, 'is_fraud': 0, 'location': 'DE', 'payment_method': 'CREDIT_CARD', 'oldbalanceOrg': 9025.12, 'newbalanceOrig': 8118.05, 'oldbalanceDest': 1593.41, 'prediction': 0}
2024-11-02 00:39:36,151 - INFO - Transaction Processed: {'transaction_id': 63706, 'amount': 812.98, 'timestamp': 1730497176.1504586, 'is_fraud': 0, 'location': 'UK', 'payment_method': 'CREDIT_CARD', 'oldbalanceOrg': 5893.67, 'newbalanceOrig': 9304.84, 'oldbalanceDest': 6867.05, 'prediction': 0}
2024-11-02 00:39:38,152 - INFO - Transaction Processed: {'transaction_id': 49461, 'amount': 408.03, 'timestamp': 1730497178.151415, 'is_fraud': 0, 'location': 'DE', 'payment_method': 'BANK_TRANSFER', 'oldbalanceOrg': 3347.69, 'newbalanceOrig': 3553.01, 'oldbalanceDest': 6242.83, 'prediction': 0}
2024-11-02 00:39:40,152 - INFO - Transaction Processed: {'transaction_id': 15971, 'amount': 683.43, 'timestamp': 1730497180.1515737, 'is_fraud': 1, 'location': 'FR', 'payment_method': 'BANK_TRANSFER', 'oldbalanceOrg': 5715.37, 'newbalanceOrig': 3634.89, 'oldbalanceDest': 7645.59, 'prediction': 0}
2024-11-02 00:39:42,152 - INFO - Transaction Processed: {'transaction_id': 40682, 'amount': 451.1, 'timestamp': 1730497182.1519554, 'is_fraud': 0, 'location': 'FR', 'payment_method': 'CREDIT_CARD', 'oldbalanceOrg': 1804.65, 'newbalanceOrig': 6684.72, 'oldbalanceDest': 915.81, 'prediction': 0}
2024-11-02 00:39:44,153 - INFO - Transaction Processed: {'transaction_id': 96090, 'amount': 592.98, 'timestamp': 1730497184.1526268, 'is_fraud': 1, 'location': 'DE', 'payment_method': 'BANK_TRANSFER', 'oldbalanceOrg': 643.22, 'newbalanceOrig': 2524.4, 'oldbalanceDest': 6679.97, 'prediction': 0}
2024-11-02 00:39:46,154 - INFO - Transaction Processed: {'transaction_id': 85381, 'amount': 122.47, 'timestamp': 1730497186.1535273, 'is_fraud': 0, 'location': 'UK', 'payment_method': 'CREDIT_CARD', 'oldbalanceOrg': 3633.19, 'newbalanceOrig': 9202.49, 'oldbalanceDest': 2887.41, 'prediction': 0}
2024-11-02 00:39:48,154 - INFO - Transaction Processed: {'transaction_id': 90334, 'amount': 654.39, 'timestamp': 1730497188.1537304, 'is_fraud': 0, 'location': 'US', 'payment_method': 'BANK_TRANSFER', 'oldbalanceOrg': 7180.33, 'newbalanceOrig': 4985.79, 'oldbalanceDest': 6812.6, 'prediction': 0}
2024-11-02 00:39:50,155 - INFO - Transaction Processed: {'transaction_id': 49422, 'amount': 892.13, 'timestamp': 1730497190.1543605, 'is_fraud': 0, 'location': 'DE', 'payment_method': 'PAYPAL', 'oldbalanceOrg': 1933.82, 'newbalanceOrig': 3478.14, 'oldbalanceDest': 3853.39, 'prediction': 0}
2024-11-02 00:39:52,155 - INFO - Transaction Processed: {'transaction_id': 14346, 'amount': 656.14, 'timestamp': 1730497192.1548948, 'is_fraud': 0, 'location': 'UK', 'payment_method': 'BANK_TRANSFER', 'oldbalanceOrg': 4261.14, 'newbalanceOrig': 6052.92, 'oldbalanceDest': 2946.38, 'prediction': 0}
2024-11-02 00:39:54,156 - INFO - Transaction Processed: {'transaction_id': 83103, 'amount': 455.05, 'timestamp': 1730497194.1555219, 'is_fraud': 0, 'location': 'UK', 'payment_method': 'BANK_TRANSFER', 'oldbalanceOrg': 7289.55, 'newbalanceOrig': 7387.5, 'oldbalanceDest': 6762.09, 'prediction': 0}
2024-11-02 00:39:56,157 - INFO - Transaction Processed: {'transaction_id': 50564, 'amount': 26.78, 'timestamp': 1730497196.1560078, 'is_fraud': 0, 'location': 'UK', 'payment_method': 'BANK_TRANSFER', 'oldbalanceOrg': 7421.03, 'newbalanceOrig': 6458.02, 'oldbalanceDest': 3889.38, 'prediction': 0}
2024-11-02 00:39:58,157 - INFO - Transaction Processed: {'transaction_id': 64957, 'amount': 330.39, 'timestamp': 1730497198.156598, 'is_fraud': 0, 'location': 'US', 'payment_method': 'BANK_TRANSFER', 'oldbalanceOrg': 1649.05, 'newbalanceOrig': 2964.33, 'oldbalanceDest': 9483.4, 'prediction': 0}
2024-11-02 00:40:00,159 - INFO - Transaction Processed: {'transaction_id': 97067, 'amount': 913.41, 'timestamp': 1730497200.1570258, 'is_fraud': 0, 'location': 'UK', 'payment_method': 'CREDIT_CARD', 'oldbalanceOrg': 8779.71, 'newbalanceOrig': 3220.93, 'oldbalanceDest': 9274.81, 'prediction': 0}
2024-11-02 00:40:02,158 - INFO - Transaction Processed: {'transaction_id': 91590, 'amount': 827.84, 'timestamp': 1730497202.1577559, 'is_fraud': 0, 'location': 'UK', 'payment_method': 'PAYPAL', 'oldbalanceOrg': 3171.17, 'newbalanceOrig': 4454.5, 'oldbalanceDest': 9160.26, 'prediction': 0}
2024-11-02 00:40:04,159 - INFO - Transaction Processed: {'transaction_id': 68098, 'amount': 989.95, 'timestamp': 1730497204.1587195, 'is_fraud': 0, 'location': 'DE', 'payment_method': 'BANK_TRANSFER', 'oldbalanceOrg': 6946.63, 'newbalanceOrig': 9451.77, 'oldbalanceDest': 6047.3, 'prediction': 0}
2024-11-02 00:40:06,159 - INFO - Transaction Processed: {'transaction_id': 13693, 'amount': 93.08, 'timestamp': 1730497206.1589363, 'is_fraud': 1, 'location': 'UK', 'payment_method': 'CREDIT_CARD', 'oldbalanceOrg': 5840.07, 'newbalanceOrig': 7976.84, 'oldbalanceDest': 3123.29, 'prediction': 0}
2024-11-02 00:40:08,160 - INFO - Transaction Processed: {'transaction_id': 99498, 'amount': 117.31, 'timestamp': 1730497208.1589804, 'is_fraud': 0, 'location': 'FR', 'payment_method': 'PAYPAL', 'oldbalanceOrg': 6991.35, 'newbalanceOrig': 8701.66, 'oldbalanceDest': 5325.07, 'prediction': 0}
2024-11-02 00:40:10,160 - INFO - Transaction Processed: {'transaction_id': 69045, 'amount': 572.38, 'timestamp': 1730497210.1595767, 'is_fraud': 1, 'location': 'UK', 'payment_method': 'PAYPAL', 'oldbalanceOrg': 4826.32, 'newbalanceOrig': 107.06, 'oldbalanceDest': 3677.57, 'prediction': 0}
2024-11-02 00:40:12,161 - INFO - Transaction Processed: {'transaction_id': 34445, 'amount': 557.48, 'timestamp': 1730497212.160339, 'is_fraud': 0, 'location': 'US', 'payment_method': 'BANK_TRANSFER', 'oldbalanceOrg': 1207.21, 'newbalanceOrig': 1756.95, 'oldbalanceDest': 346.19, 'prediction': 0}
2024-11-02 00:40:14,161 - INFO - Transaction Processed: {'transaction_id': 61503, 'amount': 598.08, 'timestamp': 1730497214.1605973, 'is_fraud': 0, 'location': 'DE', 'payment_method': 'BANK_TRANSFER', 'oldbalanceOrg': 4684.09, 'newbalanceOrig': 549.68, 'oldbalanceDest': 1639.25, 'prediction': 0}
2024-11-02 00:40:16,161 - INFO - Transaction Processed: {'transaction_id': 79538, 'amount': 948.08, 'timestamp': 1730497216.1608868, 'is_fraud': 0, 'location': 'DE', 'payment_method': 'CREDIT_CARD', 'oldbalanceOrg': 3672.46, 'newbalanceOrig': 2886.59, 'oldbalanceDest': 3776.05, 'prediction': 0}
